sid,generation,fitness,duration_mean,waiting_mean,time_loss,speed,sin_llegar,trabada,pasos,vehicles
0,0,0.0037275096401572227,189.484,71.629,119.2,7.84,0,False,1371,763.0
1,0,0.003231770358979702,215.221,85.642,144.95,7.07,0,False,1529,763.0
2,0,0.002691164379939437,245.852,114.304,175.56,6.51,0,False,1806,763.0
3,0,0.0028047470841556787,238.107,107.664,167.78,6.8,0,False,1743,763.0
4,0,0.003380079986527562,208.697,79.231,138.41,7.2,0,False,1496,763.0
5,0,0.003171968972310424,218.978,87.531,148.72,7.0,0,False,1441,763.0
6,0,0.002030273200944066,304.961,170.531,234.66,6.22,0,False,2284,763.0
7,0,0.0034250293392688036,206.379,77.809,136.1,7.2,0,False,1480,763.0
8,0,0.0028425853233784437,237.718,103.704,167.44,6.69,0,False,1735,763.0
9,0,0.0032364889048039913,215.004,85.43,144.72,6.9,0,False,1405,763.0
10,0,0.0029993916396051645,227.05,96.683,156.75,6.86,0,False,1534,763.0
11,0,0.003368281526491046,207.792,80.996,137.49,7.22,0,False,1673,763.0
12,1,0.0026135158259421587,251.377,119.317,181.07,6.78,0,False,1756,763.0
13,1,0.0033751968294382095,208.771,79.553,138.47,7.21,0,False,1410,763.0
14,1,0.00237390142865479,270.206,137.311,199.94,6.68,0,False,2191,763.0
15,1,0.0027146695647388697,244.767,112.366,174.47,6.77,0,False,1837,763.0
16,1,0.0028981456998735666,233.494,101.413,163.16,6.74,0,False,1635,763.0
17,1,0.003047958482056856,223.214,95.341,152.91,7.03,0,False,1674,763.0
18,1,0.0033757402561604977,207.287,80.858,137.03,7.22,0,False,1417,763.0
19,1,0.002990839770063758,227.925,96.754,157.6,6.91,0,False,1502,763.0
20,1,0.003338718554005027,209.746,81.609,139.44,7.18,0,False,1457,763.0
21,1,0.0033363576512783766,209.688,81.855,139.43,7.19,0,False,1717,763.0
22,1,0.003250349313020706,214.368,84.81,144.09,7.13,0,False,1487,763.0
23,2,0.0029374011792242527,231.066,99.429,160.78,6.92,0,False,1639,763.0
24,2,0.0034035134594887495,206.937,78.979,136.65,7.29,0,False,1419,763.0
25,2,0.0031995612662285566,216.726,87.106,146.42,7.05,0,False,1464,763.0
26,2,0.0022596227936446667,282.598,145.413,212.33,6.54,0,False,2037,763.0
27,2,0.002949660876765847,229.63,99.447,159.32,6.79,0,False,1595,763.0
28,2,0.0033349154982715845,210.208,81.499,139.94,7.16,0,False,1410,763.0
29,2,0.003300337353721261,212.239,82.51,141.9,7.07,0,False,1484,763.0
30,2,0.003226009663194418,214.396,86.895,144.08,7.18,0,False,1924,763.0
31,2,0.0021153229754418135,295.957,160.713,225.69,6.42,0,False,2031,763.0
32,2,0.0032589915208518505,213.026,85.288,142.74,7.15,0,False,1545,763.0
33,2,0.002996709430590272,226.315,97.623,156.06,6.9,0,False,1627,763.0
34,3,0.003462492022663355,204.406,76.73,134.14,7.35,0,False,1378,763.0
35,3,0.0033817519433796406,208.156,79.59,137.87,7.19,0,False,1454,763.0
36,3,0.0033598984591662884,208.371,81.143,138.08,7.2,0,False,1422,763.0
37,3,0.0035456097684800625,201.064,73.613,130.78,7.4,0,False,1422,763.0
38,3,0.003520673606544733,202.482,74.14,132.18,7.26,0,False,1417,763.0
39,3,0.0033300966024398804,210.007,82.077,139.74,7.12,0,False,1452,763.0
40,3,0.0032447236590087414,215.017,84.705,144.74,7.11,0,False,1527,763.0
41,3,0.003243484767153859,214.676,85.122,144.37,7.07,0,False,1445,763.0
42,3,0.003423193469643593,206.716,77.645,136.41,7.27,0,False,1417,763.0
43,3,0.003468938637524843,204.396,76.252,134.09,7.28,0,False,1409,763.0
44,3,0.0032242131419479847,215.393,86.145,145.1,7.0,0,False,1524,763.0
45,4,0.0032475062180310488,214.875,84.594,144.59,7.06,0,False,1419,763.0
46,4,0.00346495327539742,203.934,76.972,133.65,7.39,0,False,1618,763.0
47,4,0.0034917225129902363,202.431,76.328,132.14,7.41,0,False,1452,763.0
48,4,0.0034545627422630787,204.164,77.553,133.88,7.37,0,False,1364,763.0
49,4,0.002907756483182311,232.097,101.646,161.8,7.09,0,False,1884,763.0
50,4,0.0033492455258965492,210.178,80.36,139.88,7.14,0,False,1437,763.0
51,4,0.003250307636335492,213.579,85.531,143.27,7.09,0,False,1460,763.0
52,4,0.00349462334997952,202.819,75.759,132.54,7.33,0,False,1432,763.0
53,4,0.0034492425620555878,205.206,77.012,134.9,7.24,0,False,1396,763.0
54,4,0.0035852144937962294,199.465,72.235,129.18,7.44,0,False,1406,763.0
55,4,0.003392814891412854,207.274,79.515,136.96,7.22,0,False,1436,763.0
56,5,0.0036053163930773735,198.524,71.676,128.23,7.45,0,False,1465,763.0
57,5,0.003322043688967824,211.248,81.611,140.98,7.12,0,False,1535,763.0
58,5,0.0034630533773452044,204.788,76.341,134.5,7.31,0,False,1420,763.0
59,5,0.0035416532773524523,201.734,73.291,131.44,7.42,0,False,1420,763.0
60,5,0.0036000024992972612,199.159,71.472,128.84,7.34,0,False,1383,763.0
61,5,0.003473991295322776,203.831,76.384,133.54,7.3,0,False,1442,763.0
62,5,0.0034415642730891705,204.879,77.896,134.62,7.31,0,False,1471,763.0
63,5,0.002747531747445464,242.836,110.115,172.52,6.87,0,False,1741,763.0
64,5,0.003544042119756341,201.619,73.223,131.31,7.35,0,False,1444,763.0
